Word,korean_definition,english_definition,example_sentence,korean_translation,synonyms,antonyms,IELTS_score,GMAT_score
elevate,"올리다, 높이다, 향상시키다",To raise or lift something to a higher position or level.,The new policy aims to elevate the standards of education.,새로운 정책은 교육 수준을 향상시키는 것을 목표로 한다.,"lift, raise, boost","lower, decrease, reduce",High relevance for vocabulary in writing and speaking tasks.,Moderate relevance for analytical writing and reading comprehension.
eliminate,"제거하다, 없애다, 제거하여 없애다",to remove or get rid of something completely,The company decided to eliminate unnecessary expenses.,회사는 불필요한 비용을 제거하기로 결정했다.,"remove, eradicate, delete","include, retain, preserve",7,6
elite,"최상류층, 특별히 뛰어난 사람 또는 집단",A group or class of people seen as having the highest status or superior qualities,The elite group of scientists gathered to discuss the groundbreaking discovery.,최고의 과학자 그룹이 획기적인 발견에 대해 논의하기 위해 모였다.,"upper-class, aristocracy, high-ranking","commoners, mass, ordinary",High relevance for academic and societal topics,Moderate relevance for business and leadership contexts
elongated,길고 가늘게 늘어난 형태를 가진,Having a lengthened or extended shape.,The artist created an elongated sculpture of a bird.,그 예술가는 새의 길게 늘어난 조각상을 만들었다.,"extended, lengthened, stretched",,Moderate relevance for descriptive writing or academic reading.,Low relevance; may appear in reading comprehension or analogy sections.
eloquent,설득력 있고 감명 깊게 표현하는 능력을 가진,Fluent or persuasive in speaking or writing,The speaker delivered an eloquent speech that moved the audience.,연사는 청중을 감동시킨 설득력 있는 연설을 했다.,"articulate, persuasive, expressive","inarticulate, unclear, mute",High relevance for Writing and Speaking sections,Moderate relevance for Analytical Writing and Verbal sections
elucidate,"명확하게 설명하다, 밝히다",to make something clear or easy to understand; to explain,The professor tried to elucidate the complex theory to the students.,교수는 학생들에게 복잡한 이론을 명확히 설명하려고 노력했다.,"clarify, explain, illustrate","obscure, confuse, muddle",High relevance in writing and speaking sections,Moderate relevance in analytical writing
elusive,"이해하거나, 잡거나, 기억하기 어려운 것을 뜻함","difficult to find, catch, or achieve",The solution to the problem remains elusive despite our efforts.,그 문제의 해결책은 우리의 노력에도 불구하고 여전히 찾기 어렵다.,"difficult, evasive, intangible","clear, obvious, accessible",6.5,700
emanate,"나오다, 퍼지다 (빛, 소리, 열 등이 특정한 출처에서)","To come out or spread from a source (light, sound, heat, etc.)",Warmth emanated from the fireplace.,따뜻함이 벽난로에서 퍼졌다.,"emit, radiate, originate",,"Medium relevance, often used in descriptive contexts","Low relevance, rarely used in analytical contexts"
emancipate,"해방하다, 자유롭게 하다","to free someone from restraint, oppression, or bondage",The government passed a law to emancipate slaves in the country.,정부는 그 나라의 노예를 해방하는 법을 통과시켰다.,"liberate, free, release","enslave, restrain, imprison",Moderate relevance in context of social issues and history topics.,Low relevance; occasionally used in reading comprehension or critical reasoning.
embedded,"포함된, 끼워 넣어진; 완전히 고정된",fixed firmly and deeply in a surrounding mass; inserted as an integral part,The embedded chip in the device allowed seamless communication.,장치에 내장된 칩은 원활한 통신을 가능하게 했다.,"inserted, fixed, implanted",,Medium,Low
embellish,"장식하다, 아름답게 꾸미다",to make something more attractive by adding decorative details or features,She decided to embellish her story to make it more engaging.,그녀는 자신의 이야기를 더욱 흥미롭게 만들기 위해 꾸미기로 결심했다.,"decorate, adorn, enhance","simplify, strip, reduce",7,6
embezzlement,공금이나 재산을 불법적으로 가로채는 행위,The fraudulent appropriation of funds or property entrusted to one's care.,The accountant was charged with embezzlement after stealing company funds.,회계사는 회사 자금을 훔친 뒤 횡령 혐의로 기소되었다.,"misappropriation, peculation, theft",,Moderate relevance for vocabulary in legal or business contexts.,High relevance for vocabulary in ethical business scenarios.
embody,"구체화하다, 구현하다, 상징하다","To give a tangible or visible form to an idea, quality, or feeling; to represent or symbolize something.",The new law embodies the principles of equality and justice.,새 법은 평등과 정의의 원칙을 구현하고 있다.,"represent, symbolize, personify","exclude, disembody","High relevance in writing and speaking sections, especially for discussing abstract concepts.",Moderate relevance for critical reasoning and reading comprehension sections.
embroidery,천이나 옷감 위에 실로 그림이나 무늬를 놓는 작업,The art or process of decorating fabric or other materials with needle and thread or yarn.,She learned the intricate art of embroidery from her grandmother.,그녀는 할머니로부터 정교한 자수 기술을 배웠다.,"needlework, stitching, decorative sewing",,Medium relevance in Art and Culture topics,Low relevance
embryo,배아; 생물 발생 초기 단계의 생명체,"An organism in its early stage of development, before birth or hatching",The embryo begins to develop organs within the first few weeks.,배아는 첫 몇 주 동안 기관을 발달시키기 시작한다.,"fetus, zygote, germ",,Medium relevance in biological topics,Low relevance
emerge,"나타나다, 떠오르다, 출현하다","to become visible, come into view, or arise",The truth began to emerge after the investigation.,조사가 진행된 후 진실이 드러나기 시작했다.,"appear, surface, arise","disappear, vanish, fade",High relevance for vocabulary sections,Moderate relevance for reading comprehension
emigrate,"이민 가다, 다른 나라로 떠나다",To leave one's own country to settle permanently in another.,Many people emigrate from their home countries in search of better opportunities.,많은 사람들이 더 나은 기회를 찾아 고국을 떠나 이민을 갑니다.,"relocate, migrate, move abroad","immigrate, stay, remain","High relevance in writing and speaking sections, especially in context of migration topics",Low relevance unless used in reading comprehension passages
emit,"빛, 열, 가스 등을 방출하다","to send out light, heat, gas, or other substances",The factory emits large amounts of carbon dioxide into the air.,그 공장은 대기 중으로 많은 양의 이산화탄소를 방출한다.,"release, discharge, radiate","absorb, contain, retain",High relevance for environmental topics and scientific contexts,Medium relevance in logical reasoning and business scenarios
empathy,다른 사람의 감정이나 경험을 이해하고 공감하는 능력,The ability to understand and share the feelings or experiences of another person,She showed great empathy towards her friend's difficult situation.,그녀는 친구의 어려운 상황에 대해 큰 공감을 보였다.,"compassion, understanding, sympathy","apathy, indifference, detachment",High relevance for speaking and writing tasks,Moderate relevance for reading comprehension and critical reasoning
emphasize,"강조하다, 중요성을 두드러지게 하다",To give special importance or prominence to something.,The speaker emphasized the importance of education in today's society.,연사는 오늘날 사회에서 교육의 중요성을 강조했다.,"highlight, stress, underscore","downplay, ignore, minimize",High relevance in writing and speaking sections.,Moderate relevance in analytical writing assessment.
empirical,"경험적, 실증적인. 경험과 관찰을 기반으로 한.",Based on observation or experience rather than theory or pure logic.,The scientist gathered empirical data to support her hypothesis.,그 과학자는 자신의 가설을 뒷받침하기 위해 경험적 데이터를 수집했다.,"observational, experiential, pragmatic","theoretical, hypothetical, speculative","High relevance for Academic IELTS tasks, especially in writing and reading sections.",Moderate relevance in analytical writing and critical reasoning sections.
employ,"고용하다, 활용하다",to hire someone or make use of something,The company decided to employ new strategies to improve productivity.,그 회사는 생산성을 향상시키기 위해 새로운 전략을 활용하기로 결정했다.,"hire, utilize, engage","dismiss, fire, unemploy",High,Moderate
enact,"법률을 제정하다, 실행하다",to make a law or to put something into action,The government decided to enact new legislation to improve public safety.,정부는 공공 안전을 개선하기 위해 새로운 법률을 제정하기로 결정했다.,"implement, legislate, execute","repeal, nullify, abolish",7,6
enclose,"둘러싸다, 동봉하다","to surround something, often completely; to place something inside an envelope or package",Please enclose a copy of your ID with your application.,신청서와 함께 신분증 사본을 동봉해주세요.,"surround, encase, wrap, include","exclude, release, uncover",5,4
encode,정보를 코드 형태로 변환하거나 암호화하는 것,To convert information into a coded form or encrypt it,The software can encode sensitive data to ensure its security.,그 소프트웨어는 민감한 데이터를 암호화하여 보안을 보장할 수 있습니다.,"encrypt, cipher, convert","decode, decrypt, interpret",6,4
encompass,"포함하다, 둘러싸다, 아우르다","To include a wide range of ideas, subjects, or things; to surround or cover something completely.",The project will encompass all aspects of environmental conservation.,그 프로젝트는 환경 보전에 대한 모든 측면을 포함할 것이다.,"include, contain, surround, cover","exclude, omit",High relevance for academic writing and reading sections.,Useful for essay writing and comprehension sections.
encourage,"용기를 북돋우다, 격려하다","To give support, confidence, or hope to someone",She encouraged him to apply for the job.,그녀는 그에게 그 직업에 지원하라고 격려했다.,"motivate, inspire, cheer","discourage, deter, dishearten",High relevance for writing and speaking sections,Moderate relevance for verbal reasoning
encryption,정보를 보호하기 위해 데이터를 암호화하는 과정,The process of converting data into a coded format to protect its confidentiality,The encryption of sensitive data ensures that unauthorized users cannot access it.,민감한 데이터의 암호화는 승인되지 않은 사용자가 해당 데이터에 접근하지 못하도록 보장합니다.,"coding, ciphering, encoding","decryption, decoding",6.5 이상 - 기술적 주제 관련 쓰기 및 읽기에서 유용,600 이상 - 데이터 분석과 보안 관련 문항에서 연관성
endangered,"멸종 위기에 처한, 위험에 처한",At risk of extinction or becoming very rare.,Many species of animals are endangered due to habitat loss.,많은 동물 종들이 서식지 손실로 인해 멸종 위기에 처해 있습니다.,"threatened, at risk, imperiled","safe, secure",High relevance in environmental and scientific topics.,Low relevance in business contexts.
endeavor,"노력, 시도",An attempt to achieve something; earnest effort.,She made an endeavor to improve her writing skills.,그녀는 자신의 글쓰기 기술을 향상시키기 위해 노력했다.,"effort, attempt, strive","neglect, idleness, inactivity",High relevance for writing and speaking sections.,Moderate relevance in essay and critical reasoning.
endorse,"지지하다, 승인하다, 보증하다","to support, approve, or officially recommend",Many celebrities endorse products to increase their market value.,많은 유명인들이 시장 가치를 높이기 위해 제품을 홍보한다.,"support, approve, recommend","oppose, reject, disapprove",Commonly used in Speaking and Writing sections for expressing opinions.,Relevant in Reading Comprehension and Critical Reasoning.
endure,"고통, 어려움 등을 참다, 견디다",to suffer something painful or difficult patiently; to last or remain,She had to endure the harsh criticism during the meeting.,그녀는 회의 동안 가혹한 비판을 견뎌야 했다.,"tolerate, bear, sustain","collapse, give up, quit","High relevance, commonly used in writing and speaking tasks.","Medium relevance, used in reading comprehension and critical reasoning."
enforce,"법이나 규칙을 시행하다, 강요하다","To make sure a law, rule, or obligation is obeyed or carried out.",The government decided to enforce strict environmental regulations.,정부는 엄격한 환경 규정을 시행하기로 결정했다.,"implement, impose, compel","neglect, ignore, abandon",High relevance in writing and speaking sections.,Moderate relevance in critical reasoning and reading comprehension.
engage,"관여하다, 참여하다, 약혼하다, 사로잡다","to participate, to involve oneself in, to attract or hold attention, to pledge oneself to someone or something",The teacher tried to engage the students in the discussion.,선생님은 학생들을 토론에 참여시키려고 노력했다.,"participate, involve, captivate, commit","disengage, detach, ignore",High relevance in speaking and writing sections,Moderate relevance in reading comprehension and analytical sections
engrave,"글자나 문양을 금속, 나무 등에 새기다","To carve or cut words, designs, or patterns into a surface",The artisan skillfully engraved the name onto the silver plate.,장인이 은 접시에 이름을 능숙하게 새겼다.,"etch, carve, inscribe",,6-7,Medium
enhance,"향상시키다, 개선하다","to improve or increase the quality, value, or extent of something",The new software will enhance the performance of the computer.,새 소프트웨어가 컴퓨터의 성능을 향상시킬 것입니다.,"improve, boost, augment","diminish, reduce, decrease",High relevance in writing and speaking tasks,Moderate relevance in analytical writing and comprehension tasks
enlighten,"깨우치다, 계몽하다, 이해시키다","To provide someone with insight, understanding, or knowledge; to educate or inform.",The teacher tried to enlighten her students about the importance of critical thinking.,선생님은 학생들에게 비판적 사고의 중요성에 대해 깨우치려고 노력했다.,"educate, inform, illuminate","confuse, mislead, obscure",High relevance in Speaking and Writing sections,Moderate relevance in Reading Comprehension and Critical Reasoning
enroll,"등록하다, 가입하다","To officially register or sign up for something, such as a course, program, or membership.",She decided to enroll in a Spanish language class to improve her skills.,그녀는 자신의 실력을 향상시키기 위해 스페인어 수업에 등록하기로 결정했다.,"register, sign up, join","withdraw, unenroll, cancel",High relevance in academic writing and speaking sections.,Moderate relevance in context of education or program applications.
ensemble,"합주단, 앙상블 또는 함께 연주하거나 공연하는 그룹","A group of musicians, actors, or dancers who perform together as a unit.",The ensemble performed a stunning rendition of Beethoven's Symphony No. 9.,그 앙상블은 베토벤 교향곡 9번의 놀라운 연주를 선보였다.,"group, band, orchestra, choir",,Medium relevance for vocabulary in speaking and writing.,Low relevance for quantitative and analytical writing sections.
entail,"수반하다, 필요로 하다",to involve or require as a necessary condition or result,The job will entail a lot of traveling.,그 일은 많은 여행을 수반할 것이다.,"involve, require, necessitate","exclude, eliminate, prevent",High,Moderate
entertain,"즐겁게 하다, 재미있게 하다",To amuse or provide enjoyment to someone,The comedian worked hard to entertain the audience.,코미디언은 관객들을 즐겁게 하기 위해 열심히 노력했다.,"amuse, delight, engage","bore, neglect, ignore",High relevance for speaking and writing sections,Moderate relevance for verbal reasoning
enthusiastic,열정적이고 흥분된 상태를 표현하는 단어,"Having intense and eager enjoyment, interest, or approval",She was enthusiastic about joining the new project.,그녀는 새로운 프로젝트에 참여하는 것에 열정적이었다.,"excited, eager, passionate","indifferent, apathetic, disinterested",High relevance in Speaking and Writing sections,Moderate relevance in Reading comprehension and Analytical Writing
entice,"유혹하다, 꾀다",to attract someone to do something by offering something appealing or desirable,The advertisement was designed to entice customers with discounts and promotions.,그 광고는 할인과 판촉으로 고객을 유혹하도록 설계되었다.,"lure, tempt, attract","repel, dissuade",6,5
entity,독립적으로 존재하는 객체나 실체,Something that exists independently as a distinct unit or being.,A corporation is considered a legal entity separate from its owners.,법적으로 회사는 소유주와 독립된 실체로 간주된다.,"being, object, thing",,5,4
entrepreneur,"새로운 사업을 시작하고 운영하는 사람, 특히 위험을 감수하는 사람","A person who starts and manages a new business, especially one involving risk",The entrepreneur launched a successful tech startup despite the challenges.,그 기업가는 어려움에도 불구하고 성공적인 기술 스타트업을 시작했다.,"businessperson, innovator, founder","employee, follower",6.5-8.0,High relevance for vocabulary in business contexts
enzyme,생물체 내에서 화학 반응을 촉진하는 단백질 또는 RNA 분자,A protein or RNA molecule that acts as a catalyst in biochemical reactions within living organisms,Enzymes play a crucial role in breaking down food during digestion.,효소는 소화 과정에서 음식을 분해하는 데 중요한 역할을 한다.,"catalyst, biocatalyst",,High relevance in biology-related topics and academic readings,"Low relevance, mostly appears in scientific context questions"
eon,"아주 긴 시간, 영겁",An indefinite and very long period of time; an age.,"The mountain had stood tall for eons, witnessing the passage of civilizations.",그 산은 문명의 흥망성쇠를 목격하며 영겁 동안 우뚝 서 있었다.,"age, epoch, era",,Medium,Low
epic,웅장하고 장대한 또는 대규모의 사건이나 이야기,"A long narrative poem or story, often centered around heroic deeds or grand events",The movie was an epic tale of courage and survival.,그 영화는 용기와 생존에 대한 웅장한 이야기였다.,"grand, heroic, monumental","ordinary, insignificant, mundane",6,5
epicenter,"진원지; 지진이 시작된 지점 또는 사건, 활동의 중심",The point on the Earth's surface directly above the focus of an earthquake; the central or most important part of something.,The epicenter of the earthquake was located 50 miles northeast of the city.,지진의 진원지는 도시에서 북동쪽으로 50마일 떨어진 곳에 위치했다.,"hypocenter, center, core",,Moderate relevance for describing natural disasters.,Low relevance unless used metaphorically for business contexts.
epitome,"완벽한 예시 또는 전형, 어떤 것의 가장 좋은 본보기",A perfect example or representation of something; the best embodiment of a particular quality or concept.,She is the epitome of elegance and grace.,그녀는 우아함과 품위의 전형이다.,"embodiment, personification, paragon","antithesis, opposite",High relevance for vocabulary in advanced writing and speaking tasks.,Moderate relevance for verbal reasoning and essay writing sections.
epoch,"특정 시기 또는 시대를 나타내는 단어로, 중요한 사건이나 변화의 시작점을 강조함.","A particular period or point in time, especially one marked by significant events or changes.",The invention of the internet marked a new epoch in human communication.,인터넷의 발명은 인간의 의사소통에서 새로운 시대를 열었다.,"era, age, period",timelessness,Moderate relevance for academic writing and history topics.,"Low relevance, occasionally seen in reading comprehension passages."
equality,모든 사람이나 사물이 동등한 상태 또는 권리를 가지는 것,"The state of being equal, especially in status, rights, and opportunities",Equality is essential for creating a fair and just society.,평등은 공정하고 정의로운 사회를 만들기 위해 필수적이다.,"fairness, equity, parity","inequality, discrimination, bias",높음,중간
equator,"지구를 북반구와 남반구로 나누는 가상의 선으로, 지구의 적도는 위도 0도에 해당한다.","An imaginary line around the middle of a planet or other celestial body, dividing it into the northern and southern hemispheres, located at 0 degrees latitude.",Countries near the equator often experience a tropical climate.,적도 근처에 위치한 국가들은 종종 열대 기후를 경험한다.,equatorial line,,Moderate,Low
equilibrium,"평형, 균형 상태",A state in which opposing forces or influences are balanced.,The tightrope walker maintained perfect equilibrium while crossing the rope.,그 줄타기 곡예사는 줄을 건너는 동안 완벽한 균형을 유지했다.,"balance, stability, poise","imbalance, instability, disruption","High relevance in reading and writing sections, especially for topics on science and economics.","Moderate relevance, typically found in problem-solving and critical reasoning contexts."
equinox,주야 평분시; 낮과 밤의 길이가 같아지는 시점,"The time or date at which day and night are of equal length, occurring twice a year.",The spring equinox marks the beginning of longer days in the northern hemisphere.,춘분은 북반구에서 낮이 더 길어지기 시작하는 시점을 나타낸다.,"vernal equinox, autumnal equinox",,Medium relevance in topics about seasons or astronomy.,"Low relevance, rarely used in business or logical reasoning contexts."
equip,"필요한 도구나 장비를 갖추다, 준비시키다","To provide someone or something with the necessary tools, equipment, or skills",The organization aims to equip young people with the skills they need for the future.,그 조직은 젊은이들에게 미래에 필요한 기술을 갖추게 하는 것을 목표로 한다.,"furnish, prepare, provide","strip, deprive",High relevance in writing and speaking tasks,Moderate relevance in analytical writing and reading comprehension
erode,"침식하다, 약화시키다","To gradually wear away or weaken something, often by natural forces like wind or water.",The constant waves began to erode the cliff over time.,끊임없는 파도가 시간이 지나면서 절벽을 침식시키기 시작했다.,"wear away, deteriorate, corrode","build, strengthen, restore",High relevance for environmental topics,Moderate relevance for analytical writing
eruption,"폭발, 분출","A sudden and violent bursting forth, typically of lava, ash, or gas from a volcano.",The eruption of Mount Vesuvius buried the ancient city of Pompeii under volcanic ash.,베수비오 화산의 분출은 고대 도시 폼페이를 화산재 아래에 묻었다.,"explosion, outburst, burst",,High relevance in academic contexts related to natural disasters and geology.,Low relevance; occasionally used in reading comprehension passages.
espionage,"첩보 활동, 스파이 행위 또는 적국의 정보를 수집하는 행위",the practice of spying or using spies to obtain information about the plans and activities of a foreign government or other entity,The government arrested him for engaging in espionage against his own country.,정부는 그가 자국에 대한 첩보 활동에 가담한 혐의로 그를 체포했다.,"spying, intelligence gathering, reconnaissance","openness, transparency, honesty",6.5,5.0
espouse,"지지하다, 신봉하다, 특정 사상이나 신념을 받아들이다","to adopt or support a cause, belief, or way of life",She decided to espouse the idea of sustainable living.,그녀는 지속 가능한 삶이라는 아이디어를 지지하기로 결심했다.,"support, advocate, embrace","oppose, reject, refute",6.5,600
essential,"필수적인, 없어서는 안 되는",Absolutely necessary; extremely important.,Water is essential for human survival.,물은 인간 생존에 필수적이다.,"necessary, indispensable, vital","nonessential, optional, trivial",High relevance in tasks related to vocabulary and writing.,Moderate relevance in reading comprehension and analytical writing.
establish,"설립하다, 세우다, 확립하다","To set up or found something, make it stable or official",The company plans to establish a new branch in the city.,그 회사는 도시에 새로운 지점을 설립할 계획이다.,"create, found, set up, initiate, organize","destroy, abolish, dismantle",High relevance in writing and speaking sections,Moderate relevance in analytical writing and business context
estate,"재산, 토지, 부동산, 계급","An extensive area of land in the country, usually with a large house; all the money and property owned by a person, especially at death; a social class or group.",She inherited a large estate from her grandfather.,그녀는 할아버지로부터 큰 재산을 물려받았다.,"property, land, assets","debt, liability",6,5
esteem,"존경, 존중","Respect and admiration, typically for a person.",She is held in high esteem by her colleagues.,그녀는 동료들로부터 높은 존경을 받고 있다.,"respect, admiration, regard","disrespect, contempt, scorn",7-9,600-800
estuary,강이 바다로 흘러들어가는 어귀 또는 하구,"The tidal mouth of a large river, where the tide meets the stream",The estuary is an important habitat for various marine species.,그 하구는 다양한 해양 생물들에게 중요한 서식지이다.,"mouth, delta, inlet",,Moderate relevance for environmental and geography topics,"Low relevance, typically not included in business context"
etch,"산이나 레이저로 금속, 유리 등을 부식하여 새기다","To engrave or carve a design or text onto a surface, often using acid or lasers",The artist used acid to etch intricate patterns onto the glass.,예술가는 산을 사용하여 유리에 복잡한 패턴을 새겼다.,"engrave, carve, inscribe",,Medium,Low
eternal,"영원한, 끝이 없는",lasting or existing forever; without end or beginning,Her love for him was eternal.,그녀의 그에 대한 사랑은 영원했다.,"everlasting, perpetual, timeless","temporary, finite, ephemeral",7,6
ethical,"윤리적인, 도덕적인",Relating to principles of right and wrong behavior; morally good or correct.,Making ethical decisions is crucial in professional environments.,윤리적인 결정을 내리는 것은 전문적인 환경에서 매우 중요하다.,"moral, principled, virtuous","unethical, immoral, corrupt",High relevance in writing and speaking sections.,Moderate relevance in analytical writing assessment.
ethnic,민족 또는 인종과 관련된,"relating to a particular race or group of people and their customs, traditions, culture, etc.",The festival showcased a variety of ethnic dances and music.,그 축제는 다양한 민족 춤과 음악을 선보였다.,"racial, cultural, tribal",,Medium relevance,Low relevance
evacuate,"비우다, 대피하다",To remove people from a dangerous place; to empty a place or area.,The authorities ordered residents to evacuate the building immediately.,당국은 주민들에게 즉시 건물을 대피하라고 명령했다.,"empty, clear, vacate, abandon","occupy, inhabit, stay",High relevance for academic writing and speaking.,"Moderate relevance, particularly in reading comprehension sections."
evaluate,"평가하다, 가치를 판단하다","To judge or determine the significance, worth, or quality of something.",The teacher asked the students to evaluate the effectiveness of the new study method.,선생님은 학생들에게 새로운 학습 방법의 효과를 평가하라고 요청했다.,"assess, judge, appraise","ignore, neglect",High relevance in academic and general training writing tasks.,Moderate relevance in analytical writing assessment.
evaporate,"증발하다, 액체가 기체로 변하다","to change from a liquid to a gas, often through heating",Water will evaporate quickly in hot weather.,물은 더운 날씨에 빠르게 증발할 것이다.,"vaporize, disappear, dissipate",condense,"High relevance for Academic English, especially in science contexts.","Low relevance, may appear in reading comprehension or logical reasoning sections."
evergreen,늘 푸른; 사계절 내내 푸른 잎을 유지하는 식물,A plant that retains green leaves throughout the year; something enduring or timeless,The evergreen trees in the forest remained lush even during the harsh winter.,숲 속의 늘 푸른 나무들은 혹독한 겨울에도 푸르름을 유지했다.,"perennial, timeless, enduring","deciduous, temporary, ephemeral",Moderate relevance for vocabulary in environmental topics,"Low relevance, primarily used in descriptive language or analogies"
evict,특히 법적 조치를 통해 세입자 등을 퇴거시키다.,"To expel someone from a property, especially through legal action.",The landlord decided to evict the tenants for not paying rent.,집주인은 세입자들이 임대료를 내지 않았기 때문에 퇴거시키기로 결정했다.,"expel, remove, oust","welcome, admit, accept",Moderate relevance for vocabulary in reading and writing sections.,"Low relevance, may appear in reading comprehension or critical reasoning."
evident,"명백한, 분명한",clearly seen or understood; obvious,It was evident that she was upset after the meeting.,회의 후 그녀가 화가 난 것이 명백했다.,"obvious, clear, apparent","unclear, hidden, obscure",High relevance for academic writing and reading sections,Moderate relevance for critical reasoning and analytical writing sections
evince,"명백히 드러내다, 명시하다",to show clearly; to make evident or manifest,She evinced a strong desire to succeed in her career.,그녀는 자신의 경력에서 성공하고자 하는 강한 열망을 명백히 드러냈다.,"demonstrate, indicate, reveal","conceal, hide, suppress",Moderate,Low
evoke,"떠올리게 하다, 환기시키다","to bring or recall a feeling, memory, or image to the conscious mind",The smell of the ocean evokes memories of my childhood summers.,바다 냄새가 내 어린 시절 여름의 기억을 떠올리게 한다.,"provoke, elicit, stimulate","suppress, ignore, neglect",High relevance for vocabulary sections and essays,"Moderate relevance, useful in reading comprehension"
evolve,"진화하다, 발전하다","to develop gradually, especially from a simple to a more complex form",Species evolve over time to adapt to their environment.,종은 환경에 적응하기 위해 시간이 지나면서 진화한다.,"develop, progress, advance","regress, degenerate","High relevance in academic contexts, especially in biology and environmental science topics.","Moderate relevance, mainly in reading comprehension or analytical writing sections."
exacerbate,"악화시키다, 더 나쁘게 만들다","to make a situation, problem, or condition worse",The heavy rainfall exacerbated the flooding in the region.,폭우가 그 지역의 홍수를 악화시켰다.,"aggravate, intensify, worsen","alleviate, improve, ease",High relevance for vocabulary in Writing and Speaking tasks,Moderate relevance for Reading Comprehension
exaggerate,사실보다 과장하여 말하거나 행동하다.,"To represent something as larger, greater, or more important than it really is.",She tends to exaggerate her accomplishments during job interviews.,그녀는 면접에서 자신의 업적을 과장하는 경향이 있다.,"overstate, magnify, embellish","understate, minimize, downplay",High relevance for speaking and writing sections.,Moderate relevance for verbal reasoning.
examine,"조사하다, 검사하다",to inspect or investigate closely and thoroughly,The scientist decided to examine the samples under a microscope.,과학자는 현미경으로 샘플을 조사하기로 결정했다.,"inspect, investigate, analyze","ignore, neglect",High relevance in reading and writing sections,Medium relevance in analytical writing assessment
excavate,"파다, 발굴하다",to dig out or remove earth carefully to find something,Archaeologists excavate ancient ruins to uncover historical artifacts.,고고학자들은 역사적인 유물을 발견하기 위해 고대 유적을 발굴한다.,"dig, unearth, extract","bury, cover, conceal",Medium relevance,Low relevance
exceed,"초과하다, 넘다",To go beyond a limit or surpass something.,The speed of the car exceeded the limit allowed on the highway.,그 자동차의 속도가 고속도로에서 허용된 제한을 초과했다.,"surpass, overstep, outdo","fall short, fail, underperform","High relevance for vocabulary in tasks related to limits, achievements, or comparisons.",Moderate relevance for problem-solving and analytical writing tasks.
excel,"뛰어나다, 탁월하다",to be exceptionally good at something or to surpass others in performance,She excels in mathematics and always scores the highest in her class.,그녀는 수학에서 뛰어나며 항상 반에서 가장 높은 점수를 받는다.,"surpass, outshine, outperform","fail, underperform, struggle",High relevance in describing skills or achievements,Moderate relevance in personal statement or essay writing
exceptional,"뛰어난, 특별한",unusually good or outstanding,Her performance in the competition was exceptional.,그녀의 대회에서의 공연은 뛰어났습니다.,"outstanding, remarkable, extraordinary","ordinary, common, average",High relevance in describing qualities or achievements,Moderate relevance in analytical writing or argument analysis
excerpt,"발췌, 책이나 글에서 특정 부분을 뽑아냄","A short extract from a text, film, or piece of music.",The teacher read an excerpt from the book during class.,선생님은 수업 중에 책에서 발췌한 부분을 읽어주었다.,"extract, passage, quotation",,Moderate relevance for reading and writing sections.,Moderate relevance for verbal reasoning.
excessive,"지나친, 과도한","more than is necessary, reasonable, or acceptable",The excessive use of resources has led to environmental degradation.,자원의 과도한 사용은 환경 악화를 초래했다.,"overabundant, unreasonable, immoderate","moderate, reasonable, sufficient",6,7
exclusive,"독점적인, 배타적인, 특정 대상만을 위한","Limited to a particular person, group, or area; not shared with others",The club offers exclusive memberships to high-profile individuals.,그 클럽은 유명 인사들에게 독점적인 회원권을 제공합니다.,"private, unique, elite","inclusive, shared, common",7,6
excursion,짧은 여행 또는 소풍,"a short journey or trip, especially one taken for pleasure or leisure",We went on an excursion to the mountains last weekend.,우리는 지난 주말에 산으로 소풍을 갔다.,"trip, journey, outing",,Moderate relevance for vocabulary in travel-related topics,"Low relevance, primarily used in descriptive contexts"
executive,"경영진, 임원 또는 실행하는 사람",A person or group responsible for implementing plans or managing an organization,The executive team is meeting to discuss the company's future strategy.,경영진 팀은 회사의 미래 전략을 논의하기 위해 회의를 열고 있다.,"administrator, manager, director","subordinate, employee",High relevance in business-related topics,High relevance in business and management contexts
exempt,"면제하다, 면제된","To free someone or something from an obligation, duty, or liability.",Students with high grades are often exempt from final exams.,성적이 높은 학생들은 종종 기말고사를 면제받는다.,"free, release, excuse","obligated, bound, liable","Medium relevance in academic contexts, particularly for reading and writing.",High relevance in business and legal contexts.
exert,"노력이나 힘을 행사하다, 발휘하다","to apply or put forth effort, influence, or force",He had to exert extra effort to complete the project on time.,그는 프로젝트를 제시간에 끝내기 위해 추가적인 노력을 발휘해야 했다.,"apply, exercise, utilize","neglect, ignore",High relevance for academic writing and speaking,Moderate relevance for analytical writing
exhaust,"기진맥진하게 만들다, 다 써버리다, 배기가스","To use up entirely, to deplete, or to make someone very tired; also refers to waste gases expelled from an engine.",The long hike completely exhausted her.,긴 하이킹이 그녀를 완전히 기진맥진하게 만들었다.,"deplete, drain, fatigue","refresh, energize, replenish",High relevance in vocabulary usage for describing energy and environmental topics.,Moderate relevance for business scenarios involving resource management or personnel fatigue.
exhibit,"전시하다, 나타내다, 보여주다",to display or show something publicly,The museum will exhibit ancient artifacts from Egypt.,박물관은 이집트의 고대 유물을 전시할 것이다.,"display, show, present","conceal, hide, cover",High relevance in academic and descriptive contexts,Moderate relevance in reading comprehension and critical reasoning
